method,target_precision,hi,lo,pairs,tp,fp,fn_pool,fn_e2e,precision,recall_pool,recall_e2e,f1_e2e,review_fraction,review_count,auto_coverage,auto_accuracy
B_fuzzy,0.95,0.8423137254901961,0.06725393469579516,7207,290,20,367,369,0.9354838709677419,0.441400304414003,0.4400606980273141,0.5985552115583075,0.5901207159705841,4253,0.40987928402941587,0.991198375084631
B_fuzzy,0.99,1.0,0.06725393469579516,7207,117,4,540,542,0.9669421487603306,0.1780821917808219,0.17754172989377845,0.3,0.6163452199250729,4442,0.38365478007492715,0.9963833634719711
C_supervised,0.95,0.9798827993662609,0.0584674321474242,7207,424,22,233,235,0.9506726457399103,0.6453576864535768,0.6433990895295902,0.7674208144796381,0.4366588039406133,3147,0.5633411960593867,0.993103448275862
C_supervised,0.99,0.9998980908174689,0.0584674321474242,7207,15,0,642,644,1.0,0.0228310502283105,0.02276176024279211,0.044510385756676554,0.4964617732759817,3578,0.5035382267240183,0.9983466519702398
D_jev,0.95,0.1078,0.0051,1944,609,31,24,50,0.9515625,0.9620853080568721,0.9241274658573596,0.9376443418013857,0.0684156378600823,133,0.9315843621399177,0.9801214798453893
D_jev,0.99,0.3264,0.0051,1944,564,5,69,95,0.9912126537785588,0.8909952606635071,0.8558421851289834,0.9185667752442997,0.10493827160493827,204,0.8950617283950617,0.9942528735632183
